"id","category","name","old_price","new_price","discount","deals","url"
"129","Dziecko","Buty dziecięce, sportowe Kappa Dalton 260779K-2011","79,00 zł","75,00 zł","-5%","14 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-sportowe-kappa-dalton-260779k-2011-10510711347"
"30","Dziecko","INHALATOR MEDEL Family Plus + MASKA DLA NIEMOWLĄT","229,00 zł","146,99 zł","-35%","112 osób kupiło","https://allegro.pl/oferta/inhalator-medel-family-plus-maska-dla-niemowlat-7813569210"
"104","Dziecko","TRAMPOLINA OGRODOWA 6f CZARNA Z SIATKĄ 220/183cm","999,00 zł","840,00 zł","-15%","","https://allegro.pl/events/clicks?emission_unit_id=af78d786-f659-4b00-ade9-4b244bf77f83&emission_id=701f40ec-0bb3-49a0-9387-6881a27f9b60&type=OFFER&ts=1617120136906&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Ftrampolina-ogrodowa-6f-czarna-z-siatka-220-183cm-10540768558%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DOWNkYThhYWItNzc3Yi00NDY4LThlNjAtNDRmOGQ2MDUzNzFkAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=f7e468753faae65ef5bb721787dfd40b"
"12","Dziecko","Koraliki Wodne Zoo Zwierzęta 3000szt podkładki","109,00 zł","79,00 zł","-27%","134 osoby kupiły","https://allegro.pl/oferta/koraliki-wodne-zoo-zwierzeta-3000szt-podkladki-9868196921"
"26","Dziecko","La Manuli Króliczek Obrazek z Koralików DIAMENTY","49,00 zł","40,00 zł","Smart! okazja","6 osób kupiło","https://allegro.pl/oferta/la-manuli-kroliczek-obrazek-z-koralikow-diamenty-9563624855"
"42","Dziecko","VITAMMY Smile Szczoteczka soniczna dla dzieci 3+","59,00 zł","45,39 zł","-23%","77 osób kupiło","https://allegro.pl/oferta/vitammy-smile-szczoteczka-soniczna-dla-dzieci-3-8630514674"
"151","Dziecko","Termometr BEZDOTYKOWY NA PODCZERWIEŃ szybki pomiar","199,00 zł","41,99 zł","-78%","791 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=4bbb2aba-b316-4e60-a813-237f138edbf5&emission_id=8d5ccea0-7186-4ab1-8ed8-ea09b21393c5&type=OFFER&ts=1617120138442&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Ftermometr-bezdotykowy-na-podczerwien-szybki-pomiar-9888721505%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DNjUyMzRkYjItZjIxZS00NmJlLTliNWYtNWU5M2QxOWI4ZTQ5AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=e06fcd6b6969bf897ebd23f44b256343"
"114","Dziecko","Buty dziecięce Kappa Dalton K 260779K-2167","79,00 zł","75,00 zł","-5%","10 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-kappa-dalton-k-260779k-2167-10528845996"
"10","Dziecko","Push Bubble Pop It Zabawka Sensoryczna Anty Stres","99,99 zł","14,99 zł","-85%","1047 osób kupiło","https://allegro.pl/oferta/push-bubble-pop-it-zabawka-sensoryczna-anty-stres-10128859627"
"47","Dziecko","VITAMMY Smile Szczoteczka soniczna dla dzieci 3+","59,00 zł","45,39 zł","-23%","60 osób kupiło","https://allegro.pl/oferta/vitammy-smile-szczoteczka-soniczna-dla-dzieci-3-8630466801"
"24","Dziecko","Książeczka sensoryczna kontrastowa gryzak metki 0+","69,99 zł","29,99 zł","-57%","126 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=d5e67c64-7d81-4cc5-ba47-9618f1780e9b&emission_id=c4ecb653-23f6-4845-a3a7-b8f021a5ee50&type=OFFER&ts=1617120135364&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fksiazeczka-sensoryczna-kontrastowa-gryzak-metki-0-7356260028%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DYjUzYTM0NzItNDg5OC00MzIxLTk4MTUtMmM0MTBlYjIzNTJjAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=111312a5ec9067e1320ab86c57da5b1a"
"128","Dziecko","Buty dziecięce Kappa Cracker II K 260647K 1110","79,00 zł","68,90 zł","-12%","13 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-kappa-cracker-ii-k-260647k-1110-10540602380"
"73","Dziecko","Flaem 4Neb Włoski INHALATOR DLA DZIECI +certyfikat","279,00 zł","174,55 zł","-37%","147 osób kupiło","https://allegro.pl/oferta/flaem-4neb-wloski-inhalator-dla-dzieci-certyfikat-8725034130"
"64","Dziecko","LIRENE KIDS KREM DO TWARZY DLA DZIECI 50SPF 50ml","24,00 zł","3,99 zł","Smart! okazja","355 osób kupiło","https://allegro.pl/oferta/lirene-kids-krem-do-twarzy-dla-dzieci-50spf-50ml-9815867869"
"162","Dziecko","Książeczka sensoryczna kontrastowa gryzak metki 0+","69,99 zł","29,99 zł","-57%","126 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=86ccafae-25d9-4e37-b722-227e8914a747&emission_id=8d5ccea0-7186-4ab1-8ed8-ea09b21393c5&type=OFFER&ts=1617120138443&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fksiazeczka-sensoryczna-kontrastowa-gryzak-metki-0-7356260028%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DYjUzYTM0NzItNDg5OC00MzIxLTk4MTUtMmM0MTBlYjIzNTJjAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=77a0cea7f45304b452b8dddb07d2fba9"
"14","Dziecko","Zestaw XL MOCHI PUSH BUBBLE POP IT SQUISHY FASOLKI","199,00 zł","94,99 zł","-52%","186 osób kupiło","https://allegro.pl/oferta/zestaw-xl-mochi-push-bubble-pop-it-squishy-fasolki-10410704887"
"145","Dziecko","LAMPKA NOCNA DZIECIĘCA KSIĘŻYC MOON LIGHT GIGANT","199,00 zł","99,00 zł","wyprzedaż","3 osoby kupiły","https://allegro.pl/oferta/lampka-nocna-dziecieca-ksiezyc-moon-light-gigant-10465007458"
