"id","category","name","old_price","new_price","discount","deals","url"
"134","Kolekcje i sztuka","Patyczki drewniane do lodów 13,3cm proste 1000szt","27,99 zł","23,99 zł","-14%","95 osób kupiło","https://allegro.pl/oferta/patyczki-drewniane-do-lodow-13-3cm-proste-1000szt-7984555479"
"84","Kolekcje i sztuka","Motip lakier farba DO DYWANIKÓW WYKŁADZIN CZARNY","27,99 zł","23,99 zł","-14%","60 osób kupiło","https://allegro.pl/oferta/motip-lakier-farba-do-dywanikow-wykladzin-czarny-8924948009"
"97","Kolekcje i sztuka","Zestaw Kreatywny Koralików do Rękodzieła Biżuterii","33,99 zł","29,99 zł","-11%","46 osób kupiło","https://allegro.pl/oferta/zestaw-kreatywny-koralikow-do-rekodziela-bizuterii-7646659482"
"30","Kolekcje i sztuka","DRON PARROT DISCO KONTROLER OKULARY FPV FULL HD","5399,00 zł","3 999,00 zł","-25%","","https://allegro.pl/oferta/dron-parrot-disco-kontroler-okulary-fpv-full-hd-10148140182"
"55","Kolekcje i sztuka","Klatka alkohol prezent urodziny 20 30 40 50 18","89,00 zł","69,00 zł","-22%","38 osób kupiło","https://allegro.pl/oferta/klatka-alkohol-prezent-urodziny-20-30-40-50-18-8693050061"
"46","Kolekcje i sztuka","Kulki smakowe do papierosów MOCNA MIĘTA 100 szt.","14,99 zł","10,99 zł","-26%","22 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=bc106d0f-ce46-41d6-a17f-38a519ff4257&emission_id=e535b99f-d60d-48f9-ac43-249b3e50f349&type=OFFER&ts=1617120142931&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkulki-smakowe-do-papierosow-mocna-mieta-100-szt-9776060214%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DY2MwNjUyODQtMDdhNi00ODZlLTg4ODQtZjlkMzUzMzBiZGI4AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=b3773834eac6eb46bc64b1dbab177de1"
"49","Kolekcje i sztuka","Żywica odlewnicza epoksydowa Epidian 652 + IDA 3kg","146,00 zł","138,70 zł","-5%","14 osób kupiło","https://allegro.pl/oferta/zywica-odlewnicza-epoksydowa-epidian-652-ida-3kg-8658365966"
"18","Kolekcje i sztuka","DRON DWIE KAMERY VISUO 4K WIFI HD XS816 ZAWIS RC","979,99 zł","575,00 zł","-41%","33 osoby kupiły","https://allegro.pl/oferta/dron-dwie-kamery-visuo-4k-wifi-hd-xs816-zawis-rc-9788362321"
"39","Kolekcje i sztuka","OBCINACZKI NOŻYCZKI DO MULINY NICI METALOWE","29,00 zł","2,99 zł","-89%","203 osoby kupiły","https://allegro.pl/oferta/obcinaczki-nozyczki-do-muliny-nici-metalowe-9310587370"
"79","Kolekcje i sztuka","Gumka Okrągła Biała Dziana 2mm 10mb Do Maseczek","25,00 zł","1,46 zł","-94%","14 osób kupiło","https://allegro.pl/oferta/gumka-okragla-biala-dziana-2mm-10mb-do-maseczek-9343519385"
"104","Kolekcje i sztuka","FENIX MINI WAPORYZATOR DO SUSZU CBD + GRATIS","499,99 zł","329,99 zł","-34%","1 osoba kupiła","https://allegro.pl/events/clicks?emission_unit_id=ad71233d-e6a2-4728-bdd0-d65c70c75dbb&emission_id=2166cbdc-c9c2-412d-b39e-e048b80b9d04&type=OFFER&ts=1617120144249&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Ffenix-mini-waporyzator-do-suszu-cbd-gratis-9935424035%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DYzdlNDE1ZjYtOWExZi00OTVjLWE4NzQtNzQ2ZGEwMTNjNmE0AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=422ba56d6a0202690adb056cb8e8f086"
"121","Kolekcje i sztuka","OKULARY POWIĘKSZAJĄCE DO CZYTANIA LUPA ZOOM","199,00 zł","27,99 zł","-85%","19 osób kupiło","https://allegro.pl/oferta/okulary-powiekszajace-do-czytania-lupa-zoom-9362797804"
"113","Kolekcje i sztuka","Kulki smakowe do papierosów SUPER MOCNA MIĘTA 100","19,99 zł","10,99 zł","-45%","38 osób kupiło","https://allegro.pl/oferta/kulki-smakowe-do-papierosow-super-mocna-mieta-100-9776218582"
"23","Kolekcje i sztuka","ŻYWICA EPOKSYDOWA ODLEWNICZA EPIDIAN 652 + IDA","39,00 zł","37,00 zł","-5%","143 osoby kupiły","https://allegro.pl/oferta/zywica-epoksydowa-odlewnicza-epidian-652-ida-7910997848"
"100","Kolekcje i sztuka","KLAMERKI DREWNIANE MINI SPINACZE ŻABKI NATURALNE","29,00 zł","6,99 zł","-75%","31 osób kupiło","https://allegro.pl/oferta/klamerki-drewniane-mini-spinacze-zabki-naturalne-9189237574"
"73","Kolekcje i sztuka","Zapalniczka Plazmowa Elektryczna USB Dotykowa LED","59,90 zł","24,90 zł","-58%","77 osób kupiło","https://allegro.pl/oferta/zapalniczka-plazmowa-elektryczna-usb-dotykowa-led-9672695682"
"120","Kolekcje i sztuka","MUCHA JEDWABNA JAMES BOND GARNITUR KOSZULA ELEGANT","99,90 zł","89,00 zł","-10%","","https://allegro.pl/oferta/mucha-jedwabna-james-bond-garnitur-koszula-elegant-10511578858"
"77","Kolekcje i sztuka","ELEKTRYCZNA MASZYNKA DO PAPIEROSÓW PAPIEROŚNICA","155,00 zł","69,00 zł","-55%","43 osoby kupiły","https://allegro.pl/oferta/elektryczna-maszynka-do-papierosow-papierosnica-7440633939"
"21","Kolekcje i sztuka","DRON 2 KAMERY S62 WiFi CZARNOBIAŁY","699,00 zł","349,00 zł","wyprzedaż","25 osób kupiło","https://allegro.pl/oferta/dron-2-kamery-s62-wifi-czarnobialy-10461046175"
"96","Kolekcje i sztuka","Kulki smakowe do papierosów SUPER MOCNA MIĘTA 500","70,00 zł","49,99 zł","-28%","44 osoby kupiły","https://allegro.pl/oferta/kulki-smakowe-do-papierosow-super-mocna-mieta-500-9777041443"
"75","Kolekcje i sztuka","MALOWANIE PO NUMERACH prezent 40x50 Twoje Hobby","79,00 zł","65,00 zł","-17%","2 osoby kupiły","https://allegro.pl/oferta/malowanie-po-numerach-prezent-40x50-twoje-hobby-9990682176"
"111","Kolekcje i sztuka","ZAPALARKA ZAPALNICZKA Z WYCIĄGANĄ LUFKĄ Z GAZEM","15,00 zł","4,99 zł","-66%","100 osób kupiło","https://allegro.pl/oferta/zapalarka-zapalniczka-z-wyciagana-lufka-z-gazem-9425753519"
"22","Kolekcje i sztuka","BARWNIKi PIGMENTY PERŁOWE DO ŻYWIC EPOKSYDOWYCH 5G","5,00 zł","4,00 zł","-20%","110 osób kupiło","https://allegro.pl/oferta/barwniki-pigmenty-perlowe-do-zywic-epoksydowych-5g-7728309482"
